Ethnic Group,Park Hill & Whitgift,Heathrow Villages,Bloomsbury,Worcester Park South,St James's (Westminster),West End (Westminster),Stratford Olympic Park,Motspur Park & Old Malden East,Tudor (Kingston upon Thames),Cranham
"Other ethnic group: Other White, White unspecified",0,6,1,0,4,8,1,2,6,0
Other ethnic group: Pakistani or British Pakistani,0,6,3,0,0,0,0,1,0,0
Other ethnic group: Polish,0,2,0,2,2,1,0,1,1,1
Other ethnic group: Polynesia/Micronesia/Melanesia,0,5,0,1,13,1,2,0,0,0
Other ethnic group: Portuguese,1,26,1,0,2,0,1,0,0,0
Other ethnic group: Punjabi,0,25,0,0,0,0,2,0,0,0
Other ethnic group: Roma,0,0,0,0,0,0,0,0,0,0
Other ethnic group: Romanian,3,8,0,3,3,0,0,0,0,0
Other ethnic group: Sikh,4,215,1,9,0,0,8,10,2,5
Other ethnic group: Slovakian,0,0,0,0,0,0,0,0,0,0
Other ethnic group: Somali,0,10,4,0,1,2,17,0,0,0
Other ethnic group: Somalilander,0,1,0,0,0,0,0,0,0,0
Other ethnic group: South American,6,2,2,1,5,6,3,1,2,3
Other ethnic group: Spanish,0,0,3,1,1,6,1,0,0,0
Other ethnic group: Sri Lankan,6,21,1,6,1,0,1,10,6,7
Other ethnic group: Tamil,12,17,0,37,0,0,1,55,12,5
Other ethnic group: Thai,0,3,1,0,0,0,0,0,0,1
Other ethnic group: Turkish,11,1,32,14,14,31,20,1,16,8
Other ethnic group: Turkish Cypriot,1,0,1,0,0,2,1,4,0,1
Other ethnic group: Vietnamese,1,0,1,2,0,0,3,5,0,0
Other ethnic group: White African,0,0,2,2,7,0,0,0,0,0
Other ethnic group: Any other ethnic group,36,71,46,19,82,98,142,54,14,9
